time,latitude,longitude,altitude,OH,H2SO4,SO2,NO,O3,NH3,T,P,SUMNC2,glm_T,glm_SO2,glm_O3,glm_CO,glm_OH,glm_H2SO4,glm_NH3,glm_NO,glm_N_Nuc,glm_N_Ait,glm_N_Acu,glm_N_Cor,glm_N_Ait_In,glm_N_10,glm_N_All,glm_N_100,glm_nuc_CCN,glm_D_Nuc,glm_D_Ait,glm_D_Acu,glm_D_Cor,glm_D_Ait_In,glm_P,glm_SUMNC2,glm_Altitude_AGL,model_T,model_SO2,model_O3,model_CO,model_OH,model_H2SO4,model_NH3,model_NO,model_N_Nuc,model_N_Ait,model_N_Acu,model_N_Cor,model_N_Ait_In,model_N_10,model_N_All,model_N_100,model_nuc_CCN,model_D_Nuc,model_D_Ait,model_D_Acu,model_D_Cor,model_D_Ait_In,model_P,model_SUMNC2,model_Altitude_AGL
2014-08-02 20:59:00,39.90802418644068,-105.11451932203389,1739.3661115932202,,,,,,,298.9027768135593,83036.90454745763,0.01652822826656555,290.4770490582246,184.92889973994173,56.91715438192897,86.63034813721892,0.5654946905441491,0.7923569751545795,0.34772332218631363,100.58083304441612,0.24078173857729865,223.31555992695215,94.98877689649339,0.04800591457921382,1.446259970392211,319.81555222130567,320.0393844469943,200.25289315952844,0.625713280587486,5.05090459439681e-09,9.758097112664584e-08,2.5067380997041876e-07,6.996417999514055e-07,8.443228204636586e-08,76128.125,0.0033988488120771363,14.388265383731724,297.4473131660065,948.9229621945115,59.952004360794554,129.0753351945083,0.20040774825635113,0.39953458442961903,0.5111174964001032,1875.199847196779,2.6818123202395543,2420.687617937198,508.6179055875013,0.05848807848096855,1135.2555157158065,4065.7435588153157,4067.301339639226,1026.8961113898529,0.25247603401840385,9.0968610710423e-09,6.854812524755118e-08,1.3125591377423165e-07,6.916118970786236e-07,6.039629916122301e-08,82721.25,0.011757879317763726,90.71359960438663
2014-08-02 21:00:00,39.879286650000004,-105.0733066,1913.5750040666667,,,1599.6280701754386,,,2.9623,296.4847868166666,81495.08911,0.012381558675938013,290.4770490582246,184.92889973994173,56.91715438192897,86.63034813721892,0.5654946905441491,0.7923569751545795,0.34772332218631363,100.58083304441612,0.24078173857729865,223.31555992695215,94.98877689649339,0.04800591457921382,1.446259970392211,319.81555222130567,320.0393844469943,200.25289315952844,0.625713280587486,5.05090459439681e-09,9.758097112664584e-08,2.5067380997041876e-07,6.996417999514055e-07,8.443228204636586e-08,76128.125,0.0033988488120771363,14.388265383731724,296.1125573966668,936.9102969692703,60.71314154918541,134.41054305083074,0.2595958121858344,0.46282014586252906,0.560712126468698,2313.4727307664184,3.5952595094664703,2490.8955108566474,567.8674797380638,0.05425653175098156,1300.685973234676,4361.218316566551,4363.098479870605,1085.611125903123,0.2488165533992986,9.736540247580693e-09,6.827980599560993e-08,1.2645728810908156e-07,7.066301528795646e-07,6.041399149435218e-08,81314.875,0.012154683347519889,264.4493711775897
2014-08-02 21:01:00,39.83246668333334,-105.02565946666667,2006.0666646666666,0.3860432597054041,1.1446209366909488,2261.0899999999997,743.9890909090909,72.205,2.6020166666666666,296.0076273,80776.05957166667,0.011207886188999618,290.4770490582246,184.92889973994173,56.91715438192897,86.63034813721892,0.5654946905441491,0.7923569751545795,0.34772332218631363,100.58083304441612,0.24078173857729865,223.31555992695215,94.98877689649339,0.04800591457921382,1.446259970392211,319.81555222130567,320.0393844469943,200.25289315952844,0.625713280587486,5.05090459439681e-09,9.758097112664584e-08,2.5067380997041876e-07,6.996417999514055e-07,8.443228204636586e-08,76128.125,0.0033988488120771363,14.388265383731724,295.224799282937,832.4000454627543,63.49725820546288,123.50474664581436,0.40126632697930903,0.715465764511971,0.48145196256196043,1920.3480035633381,5.717980185378171,2163.5401280721367,574.855091830942,0.057832676249494674,1048.0533780280941,3789.3169264924436,3792.224410792801,965.7328449255793,0.2546613122833845,9.901893066627238e-09,6.784483491248037e-08,1.2216846654464497e-07,6.581719466592537e-07,6.055963793569555e-08,80240.25,0.010911622229080403,382.8489698089512
2014-08-02 21:02:00,39.78325075,-104.97124135,1927.5166646666667,0.6349767727868536,0.1584811266624122,171.35333333333335,509.9713333333333,73.86718333333333,1.4465333333333334,296.94336334999997,81511.05865333333,0.010339582089211465,296.88352827763276,191.6008799608789,64.84517311690023,80.77018783323075,0.6567933178797288,0.8699394733904977,0.760128405435739,120.75628900016854,0.27580931048809726,260.34466531037714,87.26758512469469,0.08438345954052773,3.6124222438943456,351.3289202876142,351.58486544899483,212.01107620007173,0.6030153656623443,5.079006306901605e-09,9.74831486045272e-08,2.6793627598411405e-07,6.211050590709411e-07,9.531693471417193e-08,81603.0,0.003613379880958166,15.728037771511216,296.56476596840184,777.6196600333724,64.49516972625136,117.47468703187272,0.4377585914298904,0.7616271451570771,0.46044403023681535,1674.5471349174275,5.158462524393833,1805.9208375911362,641.286538610102,0.05472092967524684,1158.6940480981223,3608.5035635969016,3611.1146077534295,943.2143412161629,0.2611975646497029,9.928566276373975e-09,6.81008501935222e-08,1.1842500837622856e-07,6.605556134441041e-07,6.071877940801007e-08,81409.75,0.010173989380361714,324.248964076516
2014-08-02 21:03:00,39.73828758333333,-104.91389603333333,1989.1499938666668,0.5243600793363596,0.13123794588008852,73.13333333333334,218.7455,71.22768333333333,0.9655166666666666,296.38300871666667,80918.39060833333,0.006416159203280236,296.88352827763276,191.6008799608789,64.84517311690023,80.77018783323075,0.6567933178797288,0.8699394733904977,0.760128405435739,120.75628900016854,0.27580931048809726,260.34466531037714,87.26758512469469,0.08438345954052773,3.6124222438943456,351.3289202876142,351.58486544899483,212.01107620007173,0.6030153656623443,5.079006306901605e-09,9.74831486045272e-08,2.6793627598411405e-07,6.211050590709411e-07,9.531693471417193e-08,81603.0,0.003613379880958166,15.728037771511216,295.6566159925577,503.29381823211764,60.85146628937256,112.24628441549997,0.49118973014794814,0.6130300776562635,0.5488413772186361,1558.5899502223806,6.258386869232552,1252.5323582921962,678.1799968685787,0.04515745366075394,1174.810329750806,3108.6607011127676,3111.8262292344743,852.6832225224988,0.27401376545767575,9.932738189169117e-09,6.682366039538284e-08,1.2040697494919215e-07,6.684594036384591e-07,6.087573454328771e-08,80539.875,0.008827939782729341,385.0198550639812
2014-08-02 21:04:00,39.69338441666666,-104.85678886666666,2023.5933289,0.4986497355266255,0.21706364350144755,107.45333333333333,253.38633333333334,66.16528333333333,0.5535166666666667,296.1876707333333,80599.00390666668,0.006245296924608567,296.88352827763276,191.6008799608789,64.84517311690023,80.77018783323075,0.6567933178797288,0.8699394733904977,0.760128405435739,120.75628900016854,0.27580931048809726,260.34466531037714,87.26758512469469,0.08438345954052773,3.6124222438943456,351.3289202876142,351.58486544899483,212.01107620007173,0.6030153656623443,5.079006306901605e-09,9.74831486045272e-08,2.6793627598411405e-07,6.211050590709411e-07,9.531693471417193e-08,81603.0,0.003613379880958166,15.728037771511216,295.7132718947176,174.5017577875335,59.37873638307467,97.01369792422068,0.6122431752300774,0.3900487226505466,0.428689678926229,824.9448482168932,10.811877113241914,992.7116915800882,551.8579439547308,0.039994750204752204,752.7882251532178,2302.6165653962626,2308.2097325514837,640.8191535407656,0.27762605126545725,9.800656833842885e-09,6.447363109120902e-08,1.2065149424790606e-07,6.148558241567201e-07,6.092913664068915e-08,80706.25,0.006947475236018843,320.76043323559867
2014-08-02 21:05:00,39.648390899999995,-104.7948755,2031.1283406666666,0.4899937220897826,0.23809618717257752,169.31666666666666,146.90675000000002,64.60238333333334,1.2605166666666667,295.95875061666663,80546.23778833334,0.0074360687038560755,296.88352827763276,191.6008799608789,64.84517311690023,80.77018783323075,0.6567933178797288,0.8699394733904977,0.760128405435739,120.75628900016854,0.27580931048809726,260.34466531037714,87.26758512469469,0.08438345954052773,3.6124222438943456,351.3289202876142,351.58486544899483,212.01107620007173,0.6030153656623443,5.079006306901605e-09,9.74831486045272e-08,2.6793627598411405e-07,6.211050590709411e-07,9.531693471417193e-08,81603.0,0.003613379880958166,15.728037771511216,294.97454602460044,195.839516401761,59.16220590318224,84.6704959844447,0.66043872618552,0.5522205463019094,0.27433594326269994,278.75027268632385,12.557629977902028,857.6622155313469,532.613385529359,0.03981650448104094,273.1445393671455,1669.5735571820364,1676.0175869102347,529.6056415953128,0.3159905037581672,9.848203596177183e-09,6.328192185804311e-08,1.2123656262051886e-07,6.015284075289189e-07,6.078023526868613e-08,80225.5,0.006392322877361758,317.8514040302647
2014-08-02 21:06:00,39.6179112,-104.72337853333333,2085.7866699333335,0.39873891017271773,0.24449655404440793,170.97166666666666,113.48915000000001,61.7089,1.0058833333333335,295.1647759166666,80022.90751,0.007520472298925269,296.88352827763276,191.6008799608789,64.84517311690023,80.77018783323075,0.6567933178797288,0.8699394733904977,0.760128405435739,120.75628900016854,0.27580931048809726,260.34466531037714,87.26758512469469,0.08438345954052773,3.6124222438943456,351.3289202876142,351.58486544899483,212.01107620007173,0.6030153656623443,5.079006306901605e-09,9.74831486045272e-08,2.6793627598411405e-07,6.211050590709411e-07,9.531693471417193e-08,81603.0,0.003613379880958166,15.728037771511216,293.85425430537856,283.7912910302684,59.319013999932096,82.49136528016007,0.5702434205168183,0.7396806187031943,0.15888359757908793,170.42498350937512,8.556971012439035,692.4450733399683,539.7214270039494,0.03389744126077949,157.40860517732168,1393.4908025965851,1398.1659739749393,513.1320142037448,0.3670036488907877,9.474235385847049e-09,6.443270670891201e-08,1.2573311968434742e-07,6.209193032733981e-07,6.076793714506539e-08,79717.5,0.006327173743745846,315.88918131884424
2014-08-02 21:07:00,39.58555226666667,-104.6530554,2166.81333415,0.34680237270646763,0.20742564116114875,124.235,112.25676666666666,58.17256666666666,0.6298166666666667,294.22282565,79289.21213833333,0.0065481912166019274,296.88352827763276,191.6008799608789,64.84517311690023,80.77018783323075,0.6567933178797288,0.8699394733904977,0.760128405435739,120.75628900016854,0.27580931048809726,260.34466531037714,87.26758512469469,0.08438345954052773,3.6124222438943456,351.3289202876142,351.58486544899483,212.01107620007173,0.6030153656623443,5.079006306901605e-09,9.74831486045272e-08,2.6793627598411405e-07,6.211050590709411e-07,9.531693471417193e-08,81603.0,0.003613379880958166,15.728037771511216,292.4183763916581,560.5035540641869,61.27214394394516,83.34335100444534,0.5451654463267775,1.2943924934095927,0.07974727323602922,127.0973926481191,3.6118909355863242,660.0752327223097,528.6576017436813,0.036511630051899294,71.08309395353858,1261.4007766781747,1263.4643309851676,567.9179477820406,0.4494926638247199,9.200268105314853e-09,7.166137976003008e-08,1.3879413573953404e-07,6.763988608194528e-07,6.08312722950607e-08,78800.75,0.007246594030470575,375.70671097598597
2014-08-02 21:08:00,39.56246001666667,-104.57644585,2180.59333905,0.3439101547793651,0.16237161616869364,103.52666666666667,72.60681666666666,57.45278333333333,0.5034666666666667,293.72650338333335,79174.2279,0.007656059777147319,296.88352827763276,191.6008799608789,64.84517311690023,80.77018783323075,0.6567933178797288,0.8699394733904977,0.760128405435739,120.75628900016854,0.27580931048809726,260.34466531037714,87.26758512469469,0.08438345954052773,3.6124222438943456,351.3289202876142,351.58486544899483,212.01107620007173,0.6030153656623443,5.079006306901605e-09,9.74831486045272e-08,2.6793627598411405e-07,6.211050590709411e-07,9.531693471417193e-08,81603.0,0.003613379880958166,15.728037771511216,292.2004181244999,887.062594782347,62.78049067234772,86.1305927303395,0.6753901029528651,2.3250475472612515,0.004504957744779369,160.4838759155833,1.6446328920474973,609.864422352617,549.7783997569685,0.03825294167150238,31.042166617724188,1191.5430390531174,1192.3678745610287,622.4420572986883,0.5220218278086709,9.982211339033066e-09,7.954870061455082e-08,1.4289562335245678e-07,7.250835330017141e-07,6.078037200440864e-08,78705.25,0.007924884705444658,374.12043329589096
