time,latitude,longitude,altitude,OH,H2SO4,SO2,NO,O3,NH3,T,P,SUMNC2,glm_T,glm_SO2,glm_O3,glm_CO,glm_OH,glm_H2SO4,glm_NH3,glm_NO,glm_P,glm_SUMNC2,glm_Altitude_AGL,model_T,model_SO2,model_O3,model_CO,model_OH,model_H2SO4,model_NH3,model_NO,model_P,model_SUMNC2,model_Altitude_AGL
2014-08-07 16:33:00,39.90204549152542,-105.1032163220339,1707.9491443559323,,,,,,,295.5591699661017,83083.03874237288,0.03153188802494299,290.8588354063644,1163.1305971349348,41.816767688112925,119.16770837837609,0.6245261604402608,0.9590726181091147,1.6725518327284838,1636.9993732410248,75842.75,0.0077117081717711965,14.388265383731724,292.5487980691483,4481.342845161,13.026301477753401,413.2997940726995,0.03134718870883072,0.13188808591624365,2.3259908504795654,52219.10106306398,82678.0,0.009850682125449626,60.77759064670274
2014-08-07 16:34:00,39.91532265,-105.12861073333333,1758.9449992,,,,,,,293.9434797833333,82640.92284333333,0.011558493485996562,290.8588354063644,1163.1305971349348,41.816767688112925,119.16770837837609,0.6245261604402608,0.9590726181091147,1.6725518327284838,1636.9993732410248,75842.75,0.0077117081717711965,14.388265383731724,292.4048274407448,1952.4097076199153,18.733700133073796,284.78357556864955,0.04677536517025177,0.11733428266440556,1.8755768827739279,25653.331060117907,82302.0,0.008457402956899283,60.60704658356242
2014-08-07 16:35:00,39.9127972,-105.17991726666668,1958.8883361666667,,,969.1491525423729,,,3.81371186440678,291.2417884666666,80854.07908333333,0.00995612457952131,290.8588354063644,1163.1305971349348,41.816767688112925,119.16770837837609,0.6245261604402608,0.9590726181091147,1.6725518327284838,1636.9993732410248,75842.75,0.0077117081717711965,14.388265383731724,290.4615075738566,2048.02338609098,24.131146583943803,222.8260734605598,0.06428761913256223,0.21843053510702978,1.4191901522953483,17001.512109569314,80061.25,0.008823416441529992,261.6563693590894
2014-08-07 16:36:00,39.86777848333334,-105.15594621666666,1961.8483377833334,,,589.4966666666667,,,3.2457333333333334,292.2250096166666,80874.63520666667,0.011674789176350137,290.8588354063644,1163.1305971349348,41.816767688112925,119.16770837837609,0.6245261604402608,0.9590726181091147,1.6725518327284838,1636.9993732410248,75842.75,0.0077117081717711965,14.388265383731724,290.7012620660281,3337.104126434201,19.548221699230965,283.1393928832454,0.043928623861184575,0.2232627086015296,1.3873941665224319,28574.651088313356,80863.5,0.008395808465095285,210.91879862257667
2014-08-07 16:37:00,39.84213031666666,-105.091233,1923.6416686833334,,,300.3616666666667,,,2.2468500000000002,293.29222715,81172.16726166666,0.009151196413113707,290.8588354063644,1163.1305971349348,41.816767688112925,119.16770837837609,0.6245261604402608,0.9590726181091147,1.6725518327284838,1636.9993732410248,75842.75,0.0077117081717711965,14.388265383731724,290.0564322956028,2284.244919337153,27.42628362532142,192.54255464309045,0.07592769171062767,0.26326822121962085,1.046338354776397,13656.961940428026,80808.25,0.00908651847394208,262.9601461682665
2014-08-07 16:38:00,39.81197375,-105.0286837,1934.5183349166666,,,374.9633333333333,,,2.4579,292.5610164333333,81119.35771333333,0.012839765032815642,290.8588354063644,1163.1305971349348,41.816767688112925,119.16770837837609,0.6245261604402608,0.9590726181091147,1.6725518327284838,1636.9993732410248,75842.75,0.0077117081717711965,14.388265383731724,291.624793819512,872.6329260704432,46.60142179724862,97.29475883207463,0.442608191214417,1.044633628262308,0.3711520201117853,1633.3010996357602,80732.25,0.0081929339279802,321.4106543108115
2014-08-07 16:39:00,39.77759021666667,-104.96376636666668,1925.67333375,,,548.1666666666666,,,3.8444,292.7916562333333,81239.81607833334,0.016948885005757777,297.09202997031775,705.8036373352791,64.26912666039155,96.46138275102882,0.8612875826239028,1.5995769837659672,1.807502831997828,364.90432322404126,81237.25,0.012911162438065968,15.728037771511216,291.84571549291775,453.44748570424065,46.81812696535213,81.16947119172217,0.6637546790834474,1.089002427216555,0.37787214971904187,276.67832632824457,81175.75,0.007054125640932645,324.248964076516
2014-08-07 16:40:00,39.73445121666667,-104.9090139,1956.4833374500001,,,286.88,,,4.029416666666666,292.8850352833333,80930.76568666667,0.0140180755614702,297.09202997031775,705.8036373352791,64.26912666039155,96.46138275102882,0.8612875826239028,1.5995769837659672,1.807502831997828,364.90432322404126,81237.25,0.012911162438065968,15.728037771511216,291.7519399087953,285.26333346752716,45.28657889622027,90.79086966365833,0.5689938544735572,0.5340819300629543,0.3866536592701908,426.87327730407486,80174.125,0.007136429922106931,384.66307890122596
2014-08-07 16:41:00,39.690178599999996,-104.85419351666665,1996.9783386000001,,,201.96833333333333,,,3.4288833333333333,293.82469438333334,80562.02992833333,0.00900125395773182,297.09202997031775,705.8036373352791,64.26912666039155,96.46138275102882,0.8612875826239028,1.5995769837659672,1.807502831997828,364.90432322404126,81237.25,0.012911162438065968,15.728037771511216,291.94208487788933,395.4619476561734,39.933802605329994,127.93397906240662,0.2883279700637169,0.24692269208044723,0.6842729763498,2691.619504789768,80470.625,0.008390860610358595,320.76043323559867
2014-08-07 16:42:00,39.654025116666666,-104.78989206666667,2041.0433349666666,,,169.26666666666668,,,2.2216,294.21964335,80165.07263333333,0.005907711006047762,297.09202997031775,705.8036373352791,64.26912666039155,96.46138275102882,0.8612875826239028,1.5995769837659672,1.807502831997828,364.90432322404126,81237.25,0.012911162438065968,15.728037771511216,292.3606143552692,362.5743472161854,46.51715338807638,97.1289044288302,0.39909761626921225,0.392035729662694,0.5695455218986203,1474.4088707764436,79410.75,0.008081887655964471,379.75003451118704
