time,latitude,longitude,altitude,OH,H2SO4,NO,O3,NH3,T,P,SUMNC2,glm_T,glm_O3,glm_CO,glm_OH,glm_H2SO4,glm_NH3,glm_NO,glm_N_Nuc,glm_N_Ait,glm_N_Acu,glm_N_Cor,glm_N_Ait_In,glm_N_10,glm_N_All,glm_N_100,glm_nuc_CCN,glm_D_Nuc,glm_D_Ait,glm_D_Acu,glm_D_Cor,glm_D_Ait_In,glm_P,glm_SUMNC2,glm_Altitude_AGL,model_T,model_O3,model_CO,model_OH,model_H2SO4,model_NH3,model_NO,model_N_Nuc,model_N_Ait,model_N_Acu,model_N_Cor,model_N_Ait_In,model_N_10,model_N_All,model_N_100,model_nuc_CCN,model_D_Nuc,model_D_Ait,model_D_Acu,model_D_Cor,model_D_Ait_In,model_P,model_SUMNC2,model_Altitude_AGL
2014-07-31 19:54:00,39.90256228813559,-105.10311184745763,1707.593230644068,,,,,,294.7164466271186,83554.07911694914,0.004597031528204796,288.01885289380135,52.78651113881249,95.0391121547791,0.6465678851501622,1.3854447167773463,0.31021137310969804,133.39616518516655,1.048585951737896,126.78142417115008,93.56365626979752,0.025524671496540592,0.3407299055270498,220.7661768991972,221.7599209697091,134.15760305095594,0.6049677618223942,4.711334618772087e-09,8.458298170080675e-08,2.1022518645987817e-07,7.205941559641097e-07,9.477538061174504e-08,76100.5,0.0022225141030128644,14.388265383731724,291.2377295134991,29.114368631590366,251.0485894046806,0.10042874702452763,0.539501118430349,1.195054615968021,19061.545960564323,0.7776370448206604,2976.464863075784,896.9690091005908,0.019990315902420057,2597.6089537408848,6471.401208420676,6471.840453277983,1388.3537522499355,0.2145222463799668,9.270830675368111e-09,6.113308447303453e-08,1.1854340909617651e-07,1.1918011514750127e-06,6.147491845262482e-08,83141.875,0.014037293504197383,60.77759064670274
2014-07-31 19:55:00,39.916120166666666,-105.13029911666666,1782.2916707333331,,,,,,293.14792395,82764.582215,0.0042300384676380275,288.01885289380135,52.78651113881249,95.0391121547791,0.6465678851501622,1.3854447167773463,0.31021137310969804,133.39616518516655,1.048585951737896,126.78142417115008,93.56365626979752,0.025524671496540592,0.3407299055270498,220.7661768991972,221.7599209697091,134.15760305095594,0.6049677618223942,4.711334618772087e-09,8.458298170080675e-08,2.1022518645987817e-07,7.205941559641097e-07,9.477538061174504e-08,76100.5,0.0022225141030128644,14.388265383731724,291.2887182606059,40.31739877846978,176.89771430889942,0.1838531542097755,1.0368517047868147,0.745026891239089,7767.086689601214,1.5502614261161638,1914.1258951617012,408.70182668388134,0.027115737310795546,479.2666914218923,2802.8960312767713,2803.671790430902,720.8312843812716,0.25710259198009966,9.995288965723636e-09,6.519105777002525e-08,1.3793659552485974e-07,9.727200481588777e-07,6.15858611288197e-08,82484.875,0.009160325582502606,90.25985827544103
2014-07-31 19:56:00,39.926804833333335,-105.18340848333334,2002.5816751833333,,,,,7.763028571428572,291.0457815,80747.00795500001,0.004303297163696241,288.01885289380135,52.78651113881249,95.0391121547791,0.6465678851501622,1.3854447167773463,0.31021137310969804,133.39616518516655,1.048585951737896,126.78142417115008,93.56365626979752,0.025524671496540592,0.3407299055270498,220.7661768991972,221.7599209697091,134.15760305095594,0.6049677618223942,4.711334618772087e-09,8.458298170080675e-08,2.1022518645987817e-07,7.205941559641097e-07,9.477538061174504e-08,76100.5,0.0022225141030128644,14.388265383731724,288.9674213983465,42.35930376113566,169.01634398614536,0.22832458342148648,1.0379150693049506,0.7000770682069457,6664.730209787653,2.1600279534182882,1588.5317834637096,353.4150939679552,0.029687488825586257,325.43711436695946,2268.476545418094,2269.573707240868,620.653289433631,0.27346690149497827,9.908138120807971e-09,6.60168182047593e-08,1.431937097792e-07,9.319115520320656e-07,6.245170094716915e-08,79977.5,0.008038622730869945,318.1698722587889
2014-07-31 19:57:00,39.88531565,-105.17209276666668,2107.5850098,0.7657556135171546,0.8827311321630442,219.23514893617022,65.84517021276595,2.515233333333333,290.02541726666664,79890.92366166667,0.005668855694633476,288.01885289380135,52.78651113881249,95.0391121547791,0.6465678851501622,1.3854447167773463,0.31021137310969804,133.39616518516655,1.048585951737896,126.78142417115008,93.56365626979752,0.025524671496540592,0.3407299055270498,220.7661768991972,221.7599209697091,134.15760305095594,0.6049677618223942,4.711334618772087e-09,8.458298170080675e-08,2.1022518645987817e-07,7.205941559641097e-07,9.477538061174504e-08,76100.5,0.0022225141030128644,14.388265383731724,288.2651506356224,40.185707402685686,185.0327404073084,0.19566105604556994,1.1109968806361914,0.7573763144396647,8518.761463406554,1.2787979961844997,1798.8126087892467,390.37761603100205,0.02161455900033188,562.2294588401456,2751.9985721159414,2752.7200962155794,695.8080508774065,0.2527710869819269,9.277658526347351e-09,6.519556926224075e-08,1.3618720184096776e-07,1.0949976140898134e-06,6.168070917958526e-08,79186.125,0.008595753979881039,378.62849206645177
2014-07-31 19:58:00,39.84637405,-105.1046173,2051.06500245,0.6224943317982388,1.1036278040087903,287.64233333333334,66.01095000000001,0.9365333333333333,290.27946955,80456.16048333333,0.005765787452653285,288.01885289380135,52.78651113881249,95.0391121547791,0.6465678851501622,1.3854447167773463,0.31021137310969804,133.39616518516655,1.048585951737896,126.78142417115008,93.56365626979752,0.025524671496540592,0.3407299055270498,220.7661768991972,221.7599209697091,134.15760305095594,0.6049677618223942,4.711334618772087e-09,8.458298170080675e-08,2.1022518645987817e-07,7.205941559641097e-07,9.477538061174504e-08,76100.5,0.0022225141030128644,14.388265383731724,288.2034854474118,29.933653914169653,254.8595572627968,0.1110218197114257,0.5320948436930502,1.1759871063347909,20247.341159427888,0.7575039153867333,3059.41778913793,861.7679656225862,0.016292547913222634,2837.109894884934,6758.684603108849,6759.0694461087505,1414.9209249529772,0.20933664555962778,9.906960616710036e-09,6.125386894161481e-08,1.1795827728153425e-07,1.300534794462014e-06,6.158367355321376e-08,80147.125,0.013949812537010154,382.01354214403494
2014-07-31 19:59:00,39.80642866666667,-105.03947325,2005.8783345666666,0.6309571411567011,0.2800123782446573,835.9733333333334,68.30586666666666,1.5917,290.5588173333333,80866.27400666666,0.011966151008430391,288.01885289380135,52.78651113881249,95.0391121547791,0.6465678851501622,1.3854447167773463,0.31021137310969804,133.39616518516655,1.048585951737896,126.78142417115008,93.56365626979752,0.025524671496540592,0.3407299055270498,220.7661768991972,221.7599209697091,134.15760305095594,0.6049677618223942,4.711334618772087e-09,8.458298170080675e-08,2.1022518645987817e-07,7.205941559641097e-07,9.477538061174504e-08,76100.5,0.0022225141030128644,14.388265383731724,288.80870750182817,30.037033208079713,246.06487875953437,0.11029380011274273,0.5302681165198273,1.2135486170610295,20076.86286804448,1.5012488245043827,3287.7998261262705,691.7110718726535,0.022349637426685092,3544.065208225598,7524.344390065615,7525.099704686453,1494.318875322867,0.19857795032167358,9.963749463179536e-09,6.247722152060946e-08,1.2309973582393227e-07,1.1813727813406306e-06,6.138101409453124e-08,81200.5,0.01389410420891767,321.4106543108115
2014-07-31 20:00:00,39.76536623333333,-104.97692,1946.49833785,0.5816959896566737,0.2775558073111302,1929.3,67.492,5.745,291.1169945,81437.85674666666,0.015270825402555524,291.4988012720588,59.756528555397615,97.77566627841601,0.7919905167239217,1.2221091460107276,0.7376656152778276,157.21256794320988,0.20239080428709258,266.41761592464167,135.7841667192049,0.07005567540888327,8.582552680062774,410.8700997652322,411.0567818036053,232.0491449732364,0.5645184686044296,5.173160637367969e-09,8.51265952298425e-08,2.5483580536019827e-07,7.204628797297651e-07,7.294669262873783e-08,81643.25,0.004340095684051128,15.728037771511216,288.1949228034168,30.24611878217983,253.52753362049575,0.1250862985214785,0.3944594047890861,1.3857174884300807,18627.996078030505,1.5316967815303926,2742.4457493892432,751.1083100581232,0.017632073514596263,4791.5168943631725,8285.82356203652,8286.620282665584,1565.9297963684471,0.18897086423087908,9.768335591156938e-09,6.044520378848741e-08,1.1801483013364647e-07,1.1607064666269133e-06,6.148153854191727e-08,80944.0,0.01219151231712189,386.59604574165775
2014-07-31 20:01:00,39.72448278333333,-104.9148661,1972.7850036166667,0.51827174817261,0.19230201965641475,1929.3,66.54825,6.722533333333333,290.7572628,81166.85893166668,0.014617174058657069,291.4988012720588,59.756528555397615,97.77566627841601,0.7919905167239217,1.2221091460107276,0.7376656152778276,157.21256794320988,0.20239080428709258,266.41761592464167,135.7841667192049,0.07005567540888327,8.582552680062774,410.8700997652322,411.0567818036053,232.0491449732364,0.5645184686044296,5.173160637367969e-09,8.51265952298425e-08,2.5483580536019827e-07,7.204628797297651e-07,7.294669262873783e-08,81643.25,0.004340095684051128,15.728037771511216,288.3835749643194,29.846097024436233,259.3512659898121,0.13203280444761872,0.3018583710530338,1.4532150661231313,17306.779608295048,1.4980291521991826,2255.647224221161,862.1003977442123,0.014193951284751127,5074.467857314105,8192.93703261947,8193.727702382963,1556.0664050671196,0.1899094602099814,9.681687071092215e-09,5.856014516011414e-08,1.140805057649384e-07,1.1368811496231725e-06,6.152652886396531e-08,81362.25,0.011213946511156064,322.2745280871051
2014-07-31 20:02:00,39.683674966666665,-104.85297353333334,2012.13665365,0.43266343454536266,0.15134246228635417,728.4533333333333,63.717,5.459,290.2520982666666,80802.48046333334,0.014811523541308711,291.4988012720588,59.756528555397615,97.77566627841601,0.7919905167239217,1.2221091460107276,0.7376656152778276,157.21256794320988,0.20239080428709258,266.41761592464167,135.7841667192049,0.07005567540888327,8.582552680062774,410.8700997652322,411.0567818036053,232.0491449732364,0.5645184686044296,5.173160637367969e-09,8.51265952298425e-08,2.5483580536019827e-07,7.204628797297651e-07,7.294669262873783e-08,81643.25,0.004340095684051128,15.728037771511216,288.242817293706,41.80125746480388,176.48907988624435,0.2841419000844199,0.5168854982048376,0.7211047773740165,5830.126153197772,3.62842670230317,1424.3461963040313,764.7942513953908,0.01646789334639267,1818.8116620676028,4009.7517760488886,4011.597004362675,877.5219861225086,0.21874629609309948,9.901124413021701e-09,5.579825689971383e-08,1.1440011286969109e-07,8.99301577205298e-07,6.092584310451504e-08,80759.875,0.008398633763084994,319.57374543550895
2014-07-31 20:03:00,39.64653633333333,-104.78558135,2076.4099975500003,0.36268999685030656,0.16654952363065523,128.03,63.35093333333334,7.305133333333333,289.6457650666667,80199.04499666666,0.011647147632617313,291.4988012720588,59.756528555397615,97.77566627841601,0.7919905167239217,1.2221091460107276,0.7376656152778276,157.21256794320988,0.20239080428709258,266.41761592464167,135.7841667192049,0.07005567540888327,8.582552680062774,410.8700997652322,411.0567818036053,232.0491449732364,0.5645184686044296,5.173160637367969e-09,8.51265952298425e-08,2.5483580536019827e-07,7.204628797297651e-07,7.294669262873783e-08,81643.25,0.004340095684051128,15.728037771511216,287.89444448154075,47.93843042561671,140.95393162117762,0.5619177377687239,1.1671598042824642,0.35399817420242713,2491.0576528277393,1.1933363124176368,888.1454008373776,619.0728426837031,0.008176287305347012,638.5065464477905,2146.293663558986,2146.9263025685946,566.858324879947,0.2640325027467196,9.655358875001961e-09,5.430828917243191e-08,1.1786920233691778e-07,1.0640957843286779e-06,6.033023544845478e-08,80418.5,0.006377032518832839,317.8514040302647
