time,latitude,longitude,altitude,OH,H2SO4,SO2,NO,O3,NH3,T,P,SUMNC2,glm_T,glm_O3,glm_CO,glm_OH,glm_H2SO4,glm_NH3,glm_NO,glm_N_Nuc,glm_N_Ait,glm_N_Acu,glm_N_Cor,glm_N_Ait_In,glm_N_10,glm_N_All,glm_N_100,glm_nuc_CCN,glm_D_Nuc,glm_D_Ait,glm_D_Acu,glm_D_Cor,glm_D_Ait_In,glm_P,glm_SUMNC2,glm_Altitude_AGL,model_T,model_O3,model_CO,model_OH,model_H2SO4,model_NH3,model_NO,model_N_Nuc,model_N_Ait,model_N_Acu,model_N_Cor,model_N_Ait_In,model_N_10,model_N_All,model_N_100,model_nuc_CCN,model_D_Nuc,model_D_Ait,model_D_Acu,model_D_Cor,model_D_Ait_In,model_P,model_SUMNC2,model_Altitude_AGL
2014-07-28 16:31:00,39.90422547457627,-105.10735325423728,1714.1728847118645,,,,,,8.003,295.66359815254236,83640.39502881355,0.15931290298170914,290.4164045428394,52.12543522544229,99.97617925334164,0.9706122496749896,0.6509773988884978,0.404602794396539,261.38251019485926,144.41467785078945,444.48614244025174,265.66459210380987,0.07910869997415614,3.7791259523810465,784.2095011530341,858.4236470472064,404.57194220200176,0.47129636234235,9.839735461426779e-09,8.36670287792308e-08,1.9949746085034151e-07,8.576836882338519e-07,8.162394360754957e-08,76285.0,0.006310195946341038,14.388265383731724,293.0759990549309,48.02149478235162,141.7204501878223,0.27175424719568353,0.2866617866087149,1.5593168017549743,3194.4709635529057,54.437156074303324,1709.232276161228,1347.2239489347894,0.05406368748433882,1800.3833138980256,4882.28477647896,4911.330758755831,1510.4035260713708,0.30753447492385866,9.616861449042145e-09,5.365602216291867e-08,1.5004404539112638e-07,1.384451022911091e-06,6.161815252556233e-08,83437.375,0.01799049950276112,36.45916204600708
2014-07-28 16:32:00,39.92335498333333,-105.14466896666666,1836.0433389833333,,,,,,7.381183333333333,292.9018906,82530.754295,0.020111447835828234,290.4164045428394,52.12543522544229,99.97617925334164,0.9706122496749896,0.6509773988884978,0.404602794396539,261.38251019485926,144.41467785078945,444.48614244025174,265.66459210380987,0.07910869997415614,3.7791259523810465,784.2095011530341,858.4236470472064,404.57194220200176,0.47129636234235,9.839735461426779e-09,8.36670287792308e-08,1.9949746085034151e-07,8.576836882338519e-07,8.162394360754957e-08,76285.0,0.006310195946341038,14.388265383731724,291.45189667747115,51.3633293435952,127.41638015198144,0.37677151336927617,0.37774705160248895,0.8979305734813351,2001.5726277085682,63.3832071110687,1784.062702018633,1439.1867586290734,0.054627398558813704,1053.1508613445549,4307.157036774163,4339.838156501889,1424.5656303790033,0.32825316958991607,9.820120023028817e-09,5.0748683972066566e-08,1.4528834243111785e-07,1.3621752106816802e-06,6.205978867088338e-08,81829.0,0.018050646185860386,165.80694085157165
2014-07-28 16:33:00,39.91706248333333,-105.1931455,2046.5316486666668,,,245.65178571428572,,,6.078833333333334,291.44728089999995,80622.36205833334,0.020088594127481863,290.4164045428394,52.12543522544229,99.97617925334164,0.9706122496749896,0.6509773988884978,0.404602794396539,261.38251019485926,144.41467785078945,444.48614244025174,265.66459210380987,0.07910869997415614,3.7791259523810465,784.2095011530341,858.4236470472064,404.57194220200176,0.47129636234235,9.839735461426779e-09,8.36670287792308e-08,1.9949746085034151e-07,8.576836882338519e-07,8.162394360754957e-08,76285.0,0.006310195946341038,14.388265383731724,289.74343479924414,54.14361185648764,118.7316921517562,0.5974506886282567,0.443250923860433,0.7962317134905031,1037.2609863255655,70.81042497358317,1774.3092991955664,1408.4893933307055,0.0551918936566143,763.7614523044042,3981.395321117308,4017.4257616979157,1356.5073110951087,0.33765585017849775,9.897880508801516e-09,5.085880013285039e-08,1.449857603002463e-07,1.332943157348427e-06,6.23001735665307e-08,80047.5,0.0176814575102703,318.1698722587889
2014-07-28 16:34:00,39.87089541666667,-105.15330168333334,2091.3783284333335,,,226.60333333333335,536.9211111111111,59.11507407407407,5.62805,290.87242758333326,80277.62176666666,0.023161857028673186,290.4164045428394,52.12543522544229,99.97617925334164,0.9706122496749896,0.6509773988884978,0.404602794396539,261.38251019485926,144.41467785078945,444.48614244025174,265.66459210380987,0.07910869997415614,3.7791259523810465,784.2095011530341,858.4236470472064,404.57194220200176,0.47129636234235,9.839735461426779e-09,8.36670287792308e-08,1.9949746085034151e-07,8.576836882338519e-07,8.162394360754957e-08,76285.0,0.006310195946341038,14.388265383731724,289.4829894376283,51.99636510226226,124.16665566044549,0.484812658696683,0.5521560356287584,0.9393785267519194,1541.008707130311,66.99792878735771,1838.3488061640105,1344.1322566266979,0.055112899347808296,1025.0740102929626,4239.593923683268,4274.608114770376,1373.6042737162932,0.3213403981922868,9.740397540262284e-09,5.240895682624064e-08,1.464766357876434e-07,1.3470797129235714e-06,6.19808691821397e-08,79795.75,0.017529606757944894,380.7490077669011
2014-07-28 16:35:00,39.835123816666666,-105.08371808333332,2048.8416585,,,221.355,743.8463333333333,60.51875,7.151833333333333,290.99501825,80656.54622833333,0.024628903015298364,290.4164045428394,52.12543522544229,99.97617925334164,0.9706122496749896,0.6509773988884978,0.404602794396539,261.38251019485926,144.41467785078945,444.48614244025174,265.66459210380987,0.07910869997415614,3.7791259523810465,784.2095011530341,858.4236470472064,404.57194220200176,0.47129636234235,9.839735461426779e-09,8.36670287792308e-08,1.9949746085034151e-07,8.576836882338519e-07,8.162394360754957e-08,76285.0,0.006310195946341038,14.388265383731724,289.50830083143245,47.19401740706418,147.0297508498945,0.32324935697451374,0.23322528395064435,2.565990315705164,3281.5126847114643,62.862822082958814,1627.0836250725292,1265.630578910218,0.054015811701581394,1705.9431337000237,4630.005991417459,4661.574175577431,1494.3296859047352,0.3205633182313638,9.974740843567313e-09,5.764837873005771e-08,1.547501023961949e-07,1.395659351002654e-06,6.190030356877534e-08,80388.75,0.018042411351360192,382.3240856668941
2014-07-28 16:36:00,39.80493033333333,-105.01321063333333,1990.2983337,,,266.8666666666667,1041.1721666666667,61.94338333333334,7.918616666666667,291.53317281666665,81187.82674333334,0.02668873872618551,290.4164045428394,52.12543522544229,99.97617925334164,0.9706122496749896,0.6509773988884978,0.404602794396539,261.38251019485926,144.41467785078945,444.48614244025174,265.66459210380987,0.07910869997415614,3.7791259523810465,784.2095011530341,858.4236470472064,404.57194220200176,0.47129636234235,9.839735461426779e-09,8.36670287792308e-08,1.9949746085034151e-07,8.576836882338519e-07,8.162394360754957e-08,76285.0,0.006310195946341038,14.388265383731724,289.91356000393415,41.42357532075882,183.85525811724924,0.18674944453983122,0.14462062137916334,4.346106041195068,6239.420362717781,55.328489356613495,1630.5242316982572,1147.9562068255389,0.053926939513489223,3289.9987717848144,6094.388989533568,6123.8616266047375,1709.500621236014,0.27915402493896896,9.626787367626984e-09,6.173064101021884e-08,1.6237642904792115e-07,1.437656564511024e-06,6.164012578060007e-08,80898.5,0.018160237538369078,385.89424303934084
2014-07-28 16:37:00,39.766668816666666,-104.94966441666666,1938.5983296999998,,,4085.3966666666665,7945.793333333333,51.1201,8.17385,292.18779778333334,81677.61312166667,0.029935443864755423,295.34809346810573,68.97917809032428,110.5391045654354,1.2624172201920267,1.3989976334375303,1.124433305490484,260.53222063814417,618.6919082470371,517.0188331337348,233.70728380165775,0.09888881762651644,5.333107784796692,895.3913673043182,1374.8500217848525,441.4095627667483,0.3210601562152236,7.045170586000368e-09,8.97652463921724e-08,2.5827679143276037e-07,1.049759824867106e-06,7.543697314048867e-08,81715.25,0.0080634146307441,15.728037771511216,290.3986173427169,34.11427609220384,240.80017748699728,0.10802938167332074,0.1632001081438824,3.572298912649956,13056.068886468991,68.06137843622783,2015.6875390149692,952.3031882199411,0.056416081781357146,6777.864709445463,9779.814576426423,9813.973231198383,2167.9120162734666,0.22090054305240278,9.97816876298122e-09,6.412918015852665e-08,1.6880633205260053e-07,1.4505430346467365e-06,6.150139286030523e-08,81605.375,0.017769200632473673,323.59747387525005
2014-07-28 16:38:00,39.72062866666667,-104.89624293333333,1966.5033305166667,,,1239.3166666666666,3864.5133333333333,55.78411666666667,8.5523,291.8857949666666,81407.28353166668,0.028617428182505334,295.34809346810573,68.97917809032428,110.5391045654354,1.2624172201920267,1.3989976334375303,1.124433305490484,260.53222063814417,618.6919082470371,517.0188331337348,233.70728380165775,0.09888881762651644,5.333107784796692,895.3913673043182,1374.8500217848525,441.4095627667483,0.3210601562152236,7.045170586000368e-09,8.97652463921724e-08,2.5827679143276037e-07,1.049759824867106e-06,7.543697314048867e-08,81715.25,0.0080634146307441,15.728037771511216,290.1927908235021,32.67140039097068,273.1649145483672,0.0916933285170552,0.0958791747935599,3.7043036523526593,14814.963264440348,75.71837303291643,1887.5010630096963,1002.5012679304294,0.05367064045724903,7446.473495745685,10373.805014931153,10412.247870359184,2282.5406034667744,0.21921689071238323,9.910791379698822e-09,6.353193247804743e-08,1.6669811677440977e-07,1.4604220631467695e-06,6.16585346171136e-08,81287.25,0.017756184072368987,321.97507477316776
2014-07-28 16:39:00,39.678066066666666,-104.83806460000001,2006.2099996666666,,,1048.355,4013.6833333333334,54.62456666666667,7.999266666666667,291.6172215166667,81036.37380166668,0.029602137216680167,295.34809346810573,68.97917809032428,110.5391045654354,1.2624172201920267,1.3989976334375303,1.124433305490484,260.53222063814417,618.6919082470371,517.0188331337348,233.70728380165775,0.09888881762651644,5.333107784796692,895.3913673043182,1374.8500217848525,441.4095627667483,0.3210601562152236,7.045170586000368e-09,8.97652463921724e-08,2.5827679143276037e-07,1.049759824867106e-06,7.543697314048867e-08,81715.25,0.0080634146307441,15.728037771511216,289.01242856267623,30.95631035212633,307.36628912098047,0.07371405833958357,0.08766945483277912,2.968991372173313,20319.15946755938,85.40631836374943,1947.9161546892992,1026.3985325905126,0.054861193712130454,5973.429246592957,8989.57026439606,9033.205113430231,2116.18847858944,0.23426773244008045,9.873978863361692e-09,6.334257923419145e-08,1.6824583375458522e-07,1.4592802259098304e-06,6.208162820549058e-08,80135.0,0.018375161937865377,381.49759949795634
2014-07-28 16:40:00,39.6416497,-104.77267693333333,2072.1816527833334,,,2222.0916666666667,5645.198333333334,48.93625,7.015316666666666,291.2046192833333,80416.71376166666,0.02917672264087158,295.34809346810573,68.97917809032428,110.5391045654354,1.2624172201920267,1.3989976334375303,1.124433305490484,260.53222063814417,618.6919082470371,517.0188331337348,233.70728380165775,0.09888881762651644,5.333107784796692,895.3913673043182,1374.8500217848525,441.4095627667483,0.3210601562152236,7.045170586000368e-09,8.97652463921724e-08,2.5827679143276037e-07,1.049759824867106e-06,7.543697314048867e-08,81715.25,0.0080634146307441,15.728037771511216,289.1352163303283,26.837856082766823,334.49683316181637,0.053601389891215816,0.09513500619798024,3.173732353225627,24240.570014981444,77.0131877257175,1886.1360620714809,1016.5949011087815,0.05792883039250591,5655.775686725823,8595.136901629525,8635.577766462195,2099.674194565868,0.24314229474260857,9.712081285063043e-09,6.530538127280944e-08,1.730892406242723e-07,1.470427614551877e-06,6.221245811770569e-08,80483.0,0.018926626280636582,317.8514040302647
