time,latitude,longitude,altitude,OH,H2SO4,SO2,NH3,T,P,SUMNC2,glm_T,glm_SO2,glm_CO,glm_OH,glm_H2SO4,glm_NH3,glm_N_Nuc,glm_N_Ait,glm_N_Acu,glm_N_Cor,glm_N_Ait_In,glm_N_10,glm_N_All,glm_N_100,glm_D_Nuc,glm_D_Ait,glm_D_Acu,glm_D_Cor,glm_D_Ait_In,glm_P,glm_SUMNC2,glm_Altitude_AGL,model_T,model_SO2,model_CO,model_OH,model_H2SO4,model_NH3,model_N_Nuc,model_N_Ait,model_N_Acu,model_N_Cor,model_N_Ait_In,model_N_10,model_N_All,model_N_100,model_D_Nuc,model_D_Ait,model_D_Acu,model_D_Cor,model_D_Ait_In,model_P,model_SUMNC2,model_Altitude_AGL
2014-08-03 20:27:00,39.905568237288136,-105.11006340677966,1761.1169516610169,,,,4.975542372881356,299.77874498305084,82704.78164237288,0.01139998177982216,293.8513534178533,179.33277192737526,83.8605299781449,0.4160717056792415,0.5269002954368365,0.5091474921690587,0.5976835882362906,286.2713742510054,73.76778481362844,0.06923071009221765,1.006681255640516,361.40737863706966,361.71275461860284,215.59228017630306,9.87370778801498e-09,9.985566717952203e-08,2.641276040171842e-07,6.967674300425305e-07,7.937365077484747e-08,75937.5,0.003445810167030305,14.388265383731724,296.1578277142817,1553.947643733952,207.61308076878538,0.17098709072700494,0.38278917362451687,3.238666661697855,2.005795260316171,2685.2284670194795,397.0659067355499,0.046072526931561615,2175.317753160384,5258.646447216723,5259.6639947026615,1348.7883361475435,9.915455077622656e-09,7.380856575457555e-08,1.6371568497973056e-07,8.816600632301025e-07,6.152006589170142e-08,82734.0,0.01409161800423981,90.71359960438663
2014-08-03 20:28:00,39.8783105,-105.06768083333333,1956.3233358,,,318.38039215686274,4.539599999999999,297.2796343833333,80999.68119166668,0.008786679549025607,293.8513534178533,179.33277192737526,83.8605299781449,0.4160717056792415,0.5269002954368365,0.5091474921690587,0.5976835882362906,286.2713742510054,73.76778481362844,0.06923071009221765,1.006681255640516,361.40737863706966,361.71275461860284,215.59228017630306,9.87370778801498e-09,9.985566717952203e-08,2.641276040171842e-07,6.967674300425305e-07,7.937365077484747e-08,75937.5,0.003445810167030305,14.388265383731724,293.601897891955,3949.0930869372837,288.93495731651296,0.09296161530430211,0.3114551682472548,3.4088284037080934,0.6466770441646756,4468.418136043125,454.728103133909,0.04929006695164097,4958.231394339383,9881.65197568686,9882.073600627535,2196.832082301185,8.342882416826777e-09,7.216855492694696e-08,1.6253063090288272e-07,1.0269628942793315e-06,6.156196001260752e-08,80711.125,0.020241385264714133,320.5991113815092
2014-08-03 20:29:00,39.833411250000005,-105.02201068333333,2026.0316691333333,,,2201.81,3.6944166666666667,296.83030191666666,80482.38616666666,0.008286371494710348,293.8513534178533,179.33277192737526,83.8605299781449,0.4160717056792415,0.5269002954368365,0.5091474921690587,0.5976835882362906,286.2713742510054,73.76778481362844,0.06923071009221765,1.006681255640516,361.40737863706966,361.71275461860284,215.59228017630306,9.87370778801498e-09,9.985566717952203e-08,2.641276040171842e-07,6.967674300425305e-07,7.937365077484747e-08,75937.5,0.003445810167030305,14.388265383731724,293.2564969316035,5425.315254783712,334.7348086478071,0.08274827969142273,0.31066801887577883,3.2621631227139916,1.230478556979804,5156.651237857966,471.88955155179366,0.053086384067693594,6665.614296756024,12294.812524782237,12295.438651106833,2647.428974750532,9.897670953331667e-09,7.207795548811647e-08,1.6460510698916502e-07,1.0606903837612865e-06,6.191881994494309e-08,80266.375,0.02278316808663016,382.8489698089512
2014-08-03 20:30:00,39.78513556666667,-104.9664959,1993.606665,,,573.4133333333334,4.152616666666667,297.4351892333333,80828.75092166667,0.010567642066281151,298.76960960662325,253.77481541670204,82.89727912716482,0.676847844861138,0.8149601008131195,0.868649686676013,0.383525221118369,433.23912357457294,79.6472793248788,0.08673403411427684,7.229769974827836,520.3753340566464,520.5864321295122,272.9047950767674,9.429332216853019e-09,9.368711306926669e-08,2.7608147577094564e-07,6.486377538292581e-07,7.467384657277888e-08,81376.625,0.004299087882669683,15.728037771511216,293.9915646930486,4257.097705998345,411.89197019023413,0.06106834093245758,0.2102694779621966,2.573736187172072,1.9178169222504995,3729.560738745256,412.5124957452401,0.05081920901045148,6377.529405618663,10520.576687167651,10521.57127624042,2332.650035530595,9.785981064464117e-09,7.371498125137669e-08,1.7026576967402687e-07,9.720994238789018e-07,6.303589444135958e-08,80859.875,0.018125216159620317,387.372247450779
2014-08-03 20:31:00,39.73818396666666,-104.912189,1952.1116638666667,,,273.005,2.585466666666667,297.99805811666664,81166.33351833333,0.009650991473371572,298.76960960662325,253.77481541670204,82.89727912716482,0.676847844861138,0.8149601008131195,0.868649686676013,0.383525221118369,433.23912357457294,79.6472793248788,0.08673403411427684,7.229769974827836,520.3753340566464,520.5864321295122,272.9047950767674,9.429332216853019e-09,9.368711306926669e-08,2.7608147577094564e-07,6.486377538292581e-07,7.467384657277888e-08,81376.625,0.004299087882669683,15.728037771511216,298.3553091044193,220.44315116044072,109.5323656051332,0.5350544344536196,0.3218876375399089,0.7252421781322751,11.093513097403232,1377.9785644347098,137.27983369266911,0.07612407153396404,1218.8962119810797,2739.2112154604088,2745.3242472773954,648.4992997743796,9.422367400282009e-09,7.348228826222839e-08,2.0842458181241741e-07,5.877178134059921e-07,6.052773611071059e-08,80870.25,0.007092956777004683,321.97507477316776
2014-08-03 20:32:00,39.69663046666666,-104.86312203333334,2013.6699951,,,164.59499999999997,2.5066333333333333,297.33240606666664,80491.92739833333,0.009346077101359148,298.76960960662325,253.77481541670204,82.89727912716482,0.676847844861138,0.8149601008131195,0.868649686676013,0.383525221118369,433.23912357457294,79.6472793248788,0.08673403411427684,7.229769974827836,520.3753340566464,520.5864321295122,272.9047950767674,9.429332216853019e-09,9.368711306926669e-08,2.7608147577094564e-07,6.486377538292581e-07,7.467384657277888e-08,81376.625,0.004299087882669683,15.728037771511216,297.5629299393608,111.51255804961139,99.60457228132678,0.6037252994273277,0.23264922053152814,0.6452977907571718,16.811220117251533,1116.6120384616486,124.14466155945094,0.07649566029618671,935.753460802249,2184.8882670323947,2193.397876600896,536.870095738732,9.928344799811688e-09,7.396812106819086e-08,2.1374462139732676e-07,5.694700687637537e-07,6.060832065837555e-08,80009.875,0.006100440400712618,383.21592461463985
2014-08-03 20:33:00,39.66512986666667,-104.80955301666667,2049.2083271833335,,,96.44,2.083083333333333,297.0681113,80145.75775,0.0066756923768203046,298.76960960662325,253.77481541670204,82.89727912716482,0.676847844861138,0.8149601008131195,0.868649686676013,0.383525221118369,433.23912357457294,79.6472793248788,0.08673403411427684,7.229769974827836,520.3753340566464,520.5864321295122,272.9047950767674,9.429332216853019e-09,9.368711306926669e-08,2.7608147577094564e-07,6.486377538292581e-07,7.467384657277888e-08,81376.625,0.004299087882669683,15.728037771511216,298.00904102739105,90.30220225175356,92.49019251473705,0.5901013418988486,0.20615819053138196,0.6004632722908745,16.375603009797327,962.0872054948436,124.3397976996505,0.07603983067151755,732.9350438620248,1827.1462255969113,1835.8136898969876,472.66352527943894,9.664950314797096e-09,7.439052390314076e-08,2.1381406568361296e-07,5.702137638167991e-07,6.061168999933853e-08,80319.875,0.005608995700004865,319.3181895984705
2014-08-03 20:34:00,39.631539233333335,-104.74765445,2113.9450073499997,,,80.16499999999999,1.8447833333333334,296.6308251333333,79618.68794666667,0.0055515333280160475,298.76960960662325,253.77481541670204,82.89727912716482,0.676847844861138,0.8149601008131195,0.868649686676013,0.383525221118369,433.23912357457294,79.6472793248788,0.08673403411427684,7.229769974827836,520.3753340566464,520.5864321295122,272.9047950767674,9.429332216853019e-09,9.368711306926669e-08,2.7608147577094564e-07,6.486377538292581e-07,7.467384657277888e-08,81376.625,0.004299087882669683,15.728037771511216,296.942366920374,57.217414855897196,82.26480368222373,0.4751204355459054,0.12683805427847406,0.5371526641590183,13.093012140583669,774.2189291341217,123.59316362694207,0.07500626580357495,273.44458502854314,1175.8752250458238,1184.424696195994,368.76951106304483,8.33249149442331e-09,7.569948755302751e-08,2.1569910422714235e-07,5.758523017620953e-07,6.08667338626244e-08,79208.0,0.005056106060849534,377.71798463661855
2014-08-03 20:35:00,39.595948883333335,-104.68011248333333,2179.6716634,,,73.58,1.4575500000000001,296.0101157333333,79055.107725,0.005715134505086281,298.76960960662325,253.77481541670204,82.89727912716482,0.676847844861138,0.8149601008131195,0.868649686676013,0.383525221118369,433.23912357457294,79.6472793248788,0.08673403411427684,7.229769974827836,520.3753340566464,520.5864321295122,272.9047950767674,9.429332216853019e-09,9.368711306926669e-08,2.7608147577094564e-07,6.486377538292581e-07,7.467384657277888e-08,81376.625,0.004299087882669683,15.728037771511216,296.43130154337933,51.8695561273995,79.6225729759774,0.3497926720112281,0.08954017904621962,0.5172039722277485,19.64026899598022,763.4662213812021,121.1466066197616,0.07589971560743011,165.88118820968538,1060.0572841843964,1070.2101849222367,349.44616879136817,9.80492105052783e-09,7.580739268256208e-08,2.168736766670865e-07,5.726230234504506e-07,6.110770819925886e-08,78623.0,0.004997183927974027,375.70091144052674
2014-08-03 20:36:00,39.57050348333333,-104.6060519,2217.5700032666664,,,64.72666666666666,0.823,295.56875715,78705.294295,0.0055533602054714725,298.76960960662325,253.77481541670204,82.89727912716482,0.676847844861138,0.8149601008131195,0.868649686676013,0.383525221118369,433.23912357457294,79.6472793248788,0.08673403411427684,7.229769974827836,520.3753340566464,520.5864321295122,272.9047950767674,9.429332216853019e-09,9.368711306926669e-08,2.7608147577094564e-07,6.486377538292581e-07,7.467384657277888e-08,81376.625,0.004299087882669683,15.728037771511216,296.3985054210784,45.50723730384048,78.18880170559301,0.24714358111388718,0.05987833026387216,0.5059008659346226,11.972964534985646,760.5599014824032,117.77618218961356,0.07660156836141935,109.47639398399778,992.5544310316382,999.8620437593614,336.02238375591185,8.781445024156126e-09,7.553856727920524e-08,2.1959290527659347e-07,5.723313626082224e-07,6.150170716598688e-08,78484.25,0.004945351467246793,374.43549993274814
