time,latitude,longitude,altitude,OH,H2SO4,SO2,NO,O3,NH3,T,P,SUMNC2,glm_T,glm_SO2,glm_O3,glm_CO,glm_OH,glm_H2SO4,glm_NH3,glm_NO,glm_N_Nuc,glm_N_Ait,glm_N_Acu,glm_N_Cor,glm_N_Ait_In,glm_N_10,glm_N_All,glm_N_100,glm_D_Nuc,glm_D_Ait,glm_D_Acu,glm_D_Cor,glm_D_Ait_In,glm_P,glm_SUMNC2,glm_Altitude_AGL,model_T,model_SO2,model_O3,model_CO,model_OH,model_H2SO4,model_NH3,model_NO,model_N_Nuc,model_N_Ait,model_N_Acu,model_N_Cor,model_N_Ait_In,model_N_10,model_N_All,model_N_100,model_D_Nuc,model_D_Ait,model_D_Acu,model_D_Cor,model_D_Ait_In,model_P,model_SUMNC2,model_Altitude_AGL
2014-07-27 17:13:00,39.90295425423729,-105.10494581355931,1709.3050785254238,,,,,,7.085333333333334,294.46449679661015,83724.17179322035,0.15646466166373466,294.0903022548713,532.412415483114,59.203723084537216,100.84406507534321,1.1119822943945834,2.3518818758310585,0.8375835263701428,408.35728148226167,1.0557385574212605,248.4044939394221,370.0439549007559,0.0885263505736615,0.06692424270378398,618.6232052414084,619.6596379908767,462.7274896380195,3.792972620577721e-09,9.625878328185652e-08,2.0297203170189947e-07,7.831288295723566e-07,5.727150764799493e-08,76259.0,0.00763707557722843,14.388265383731724,296.060516482413,346.8367933535474,70.26679869986184,124.71852431314613,1.0053581197668355,1.2413416689078351,4.158985317511485,637.0529182660572,0.24928033381664352,688.7422444579545,475.26761009011705,0.03534441051208138,361.9740266732015,1526.1362747004239,1526.2685059656014,586.5630208565466,9.651881904059806e-09,6.86539590818169e-08,1.5454697357421898e-07,1.0451156024691282e-06,6.042590638564848e-08,83220.125,0.007487106897967493,60.77759064670274
2014-07-27 17:14:00,39.92091763333334,-105.13596824999999,1812.5366638666667,,,41.41777777777778,,,6.9472499999999995,291.77599534999996,82816.46179833333,0.017053239713303102,294.0903022548713,532.412415483114,59.203723084537216,100.84406507534321,1.1119822943945834,2.3518818758310585,0.8375835263701428,408.35728148226167,1.0557385574212605,248.4044939394221,370.0439549007559,0.0885263505736615,0.06692424270378398,618.6232052414084,619.6596379908767,462.7274896380195,3.792972620577721e-09,9.625878328185652e-08,2.0297203170189947e-07,7.831288295723566e-07,5.727150764799493e-08,76259.0,0.00763707557722843,14.388265383731724,295.06096180200353,362.92532724551836,70.65214220467071,118.6852793723539,0.9270465981855622,1.2534492369249224,3.769735522423974,379.8002786930879,0.35442749640636545,704.7730445117419,478.71356482055074,0.036409675025958946,144.7793850708405,1328.4785552950073,1328.6568315745653,572.5042858088913,9.96521269145361e-09,6.952337567052093e-08,1.5700953068084926e-07,1.055168438294135e-06,6.059421489939192e-08,82240.125,0.007754125736306677,125.3232771740318
2014-07-27 17:15:00,39.96668141666667,-105.15562924999999,2131.8566711500002,,,50.21,290.915,52.3635,5.24575,289.1062048333333,79896.82688666666,0.016819692372636263,294.0903022548713,532.412415483114,59.203723084537216,100.84406507534321,1.1119822943945834,2.3518818758310585,0.8375835263701428,408.35728148226167,1.0557385574212605,248.4044939394221,370.0439549007559,0.0885263505736615,0.06692424270378398,618.6232052414084,619.6596379908767,462.7274896380195,3.792972620577721e-09,9.625878328185652e-08,2.0297203170189947e-07,7.831288295723566e-07,5.727150764799493e-08,76259.0,0.00763707557722843,14.388265383731724,291.72636495972375,318.4557351755301,71.11014637671762,118.54892829317608,1.1259629223253278,1.3224753876897641,3.8830522203731146,387.0762133671765,0.34240433741905396,698.7197936323848,486.67322891430024,0.03585695108331311,121.34388236589889,1306.932907170194,1307.1151662010864,564.8277242433237,9.631198802020792e-09,6.852426396875031e-08,1.5498154679642932e-07,1.0435737943064043e-06,6.06255333061821e-08,79141.375,0.00766376180240429,527.5760883924008
2014-07-27 17:16:00,40.024925749999994,-105.15643481666666,2452.29167075,,,37.656666666666666,219.59283333333332,54.62226666666666,4.022883333333334,286.89933483333334,76969.67377333334,0.017689635115692985,293.792357424115,617.8503065517301,58.63058126145595,111.62415560998065,0.8726728493894835,1.4898551226242918,2.92966752313051,338.5990320365442,0.06666184246843362,168.86978005383102,441.79464133827946,0.09766624319100957,0.08596657557605973,610.8484895840633,610.914716053346,415.76839685751315,3.1631379098463354e-09,5.3125876563337726e-08,1.850606470867066e-07,7.92948144000835e-07,9.53727200975065e-08,78229.125,0.006909900005386216,14.872322926209769,289.25840709329367,336.3289437832933,70.87664319648951,116.52859154883146,1.2754688937656533,1.4653693545825677,3.856311824141967,432.7788173140427,0.421070142514182,690.7591119223333,497.1915066064404,0.03788051029624345,122.16354073348765,1310.3550960778698,1310.5731099150717,568.586937669562,9.795590554748784e-09,6.8141538585788e-08,1.5441645328928065e-07,1.0200619819577959e-06,6.059299077449496e-08,76605.625,0.007708718814368091,884.3744540185663
2014-07-27 17:17:00,40.071308916666666,-105.1155432,2675.91333415,,,39.75666666666667,304.72341666666665,55.686683333333335,2.421066666666667,285.32895436666666,74975.57535333333,0.1423046973015222,291.78681993981843,594.9139383318445,58.46002675392743,110.73180649129614,0.9686889540079616,0.5821697904568028,2.871659409476792,325.6542418385391,0.6860007073272696,838.4594500103066,362.04665461734675,0.11112055878938629,5.826766320321513,1206.4484718256742,1207.1299922140915,719.1632001514073,3.1631379098463354e-09,9.47684661579854e-08,1.9901124141295634e-07,7.854324062297556e-07,7.197606150846664e-08,76800.5,0.010378126113949653,173.87118139253178,287.79560338332533,261.08653039618196,70.25713666868725,110.58587570984122,1.2222508985781266,1.1564958346838214,4.072774097597062,305.0180166071682,0.6249426696372868,615.9939467180344,436.62048861724844,0.03881867046926356,103.0210706104409,1155.9659659699691,1156.2992672858304,511.0400306361528,9.61953213302316e-09,6.989698227865683e-08,1.5474997029362763e-07,9.726879927121233e-07,6.069860418753791e-08,74941.375,0.006897574016696428,1100.4096941444102
2014-07-27 17:18:00,40.09800958333334,-105.0392619,2828.2599934666664,,,204.25666666666666,99.09596666666667,64.02593333333333,1.9063166666666667,285.4010102,73656.95078833333,0.014372246112059691,290.4341459725509,583.4534656913711,58.45655541233165,110.12021203632493,1.011580450254658,0.5625154340197661,2.8251408532286897,320.72369653770846,0.7382205602608015,838.1820429089073,359.60166263209317,0.11104113171340199,6.277178152825529,1204.1767461959848,1204.9101453858002,700.4266783770236,3.1631379098463354e-09,9.285816363185404e-08,1.95489487969672e-07,7.687553276140916e-07,7.182884240954818e-08,75560.625,0.010038501452836145,313.536261350515,286.2694813239126,247.9283391589245,71.62873115116916,116.21202531557579,1.1745409092329488,1.1854147301831353,5.618682170224667,241.00685622047354,0.2547692254107729,308.9029905429248,489.0857395857948,0.024194043812266804,52.43293613307944,850.5615964358723,850.7006295310221,435.3287470227566,9.48129490525095e-09,6.098812768139317e-08,1.4402127540398464e-07,1.0908765065719674e-06,6.102740180159035e-08,73250.25,0.0057575109482304486,1341.8732384386046
2014-07-27 17:19:00,40.121431349999995,-104.95439261666667,2827.0433431333336,,,123.305,218.59866666666667,62.4224,2.3252666666666664,285.52949943333334,73692.979325,0.02323898842887514,289.0379399965352,314.2745463991952,61.13512474018743,108.15339695142518,0.5756212160550999,0.2831510736065346,4.268837114400892,130.47193162611626,0.4023056199034765,395.4927070333372,292.94147960906145,0.13457291871385724,16.943459880847143,705.5441484097354,705.9145250618632,460.96463283554584,5.201872983641184e-09,9.259496137581622e-08,2.4252530988722696e-07,8.010734127411133e-07,7.424924989721718e-08,77373.75,0.008397344809930589,645.8201703329804,287.20962708082857,306.6417814743422,67.0676420462005,90.10752187815773,1.3477324199654552,1.5262347831266891,1.0919318188568592,183.4941768995932,0.7176811702261919,1020.7138366973958,147.01868191112928,0.061560151650252457,5.756254527152986,1173.8995695030655,1174.2680144575545,480.3826084777184,9.845615575882902e-09,8.21251431833686e-08,1.9870662191470184e-07,8.636515330688451e-07,6.471078649293319e-08,73272.75,0.006616511183158292,1339.9968566964128
2014-07-27 17:20:00,40.15165415,-104.88399058333333,2822.5216634000003,,,48.373333333333335,273.77099999999996,60.385666666666665,3.2218500000000003,284.79731551666663,73648.09916333333,0.026843654919557217,289.0379399965352,314.2745463991952,61.13512474018743,108.15339695142518,0.5756212160550999,0.2831510736065346,4.268837114400892,130.47193162611626,0.4023056199034765,395.4927070333372,292.94147960906145,0.13457291871385724,16.943459880847143,705.5441484097354,705.9145250618632,460.96463283554584,5.201872983641184e-09,9.259496137581622e-08,2.4252530988722696e-07,8.010734127411133e-07,7.424924989721718e-08,77373.75,0.008397344809930589,645.8201703329804,286.32130655591305,442.54509734486464,70.59144653047197,113.32824580634139,1.4931841749055643,2.2113927329987475,4.56414742540939,452.54664249726204,0.20234356016715035,543.604982910922,374.0023779920537,0.04581486248305595,18.517982497695243,936.2468236731107,936.3735018233211,486.81065973937314,8.615222434588894e-09,7.65121748050164e-08,1.7414522928358124e-07,1.0144793172987053e-06,6.233610953860751e-08,73399.375,0.007072527962348253,1346.0175169151405
2014-07-27 17:21:00,40.17964335,-104.81552705,2825.054988566667,,,25.795,335.4488333333333,59.87596666666666,3.4126166666666666,285.06217291666667,73639.21315,0.051081461041606206,289.0379399965352,314.2745463991952,61.13512474018743,108.15339695142518,0.5756212160550999,0.2831510736065346,4.268837114400892,130.47193162611626,0.4023056199034765,395.4927070333372,292.94147960906145,0.13457291871385724,16.943459880847143,705.5441484097354,705.9145250618632,460.96463283554584,5.201872983641184e-09,9.259496137581622e-08,2.4252530988722696e-07,8.010734127411133e-07,7.424924989721718e-08,77373.75,0.008397344809930589,645.8201703329804,287.1660597319687,373.6428187378498,68.36229558791383,113.96253504973907,1.5210536184216887,1.8502577393140238,3.9322000425548884,667.7215151357373,0.23235957671515123,685.2420954280706,370.9523543620829,0.0537820277076327,37.54164676281843,1093.860927303417,1094.0222381573947,523.1227330989376,7.901607983816508e-09,7.598969216257003e-08,1.737110743952564e-07,9.873184948140152e-07,6.215161828381956e-08,73541.125,0.007497706990912853,1343.444273376311
2014-07-27 17:22:00,40.18467536666667,-104.73655411666667,2827.5316732,,,311.17,322.95399999999995,65.49065,3.508883333333333,285.3249262833333,73646.05967333334,0.03546556015651481,289.0379399965352,314.2745463991952,61.13512474018743,108.15339695142518,0.5756212160550999,0.2831510736065346,4.268837114400892,130.47193162611626,0.4023056199034765,395.4927070333372,292.94147960906145,0.13457291871385724,16.943459880847143,705.5441484097354,705.9145250618632,460.96463283554584,5.201872983641184e-09,9.259496137581622e-08,2.4252530988722696e-07,8.010734127411133e-07,7.424924989721718e-08,77373.75,0.008397344809930589,645.8201703329804,286.6279515978206,426.9546178049239,68.68390003122043,132.39802487310118,1.1090790622956483,1.3218508019601518,6.520410417394751,1365.2859789891097,0.2106103698373486,509.5604752620677,505.9281057033683,0.04659588049934654,90.23458623028415,1105.867268160038,1105.9803734460568,566.3924159403466,9.578034968161781e-09,6.916156670801277e-08,1.7185922711884778e-07,1.083596806221101e-06,6.137256434974731e-08,73264.0,0.00831468143550468,1337.755213153962
