time,N10_non,N_10,N_All,SUMNC2,altitude,latitude,longitude,N_Nuc
2014-07-22 16:38:00,1771.4793333333334,5839.438333333334,7598.497666666667,0.012551104784657829,2036.5666666666666,40.272735466666674,-105.20784378333335,1759.0593333333327
2014-07-22 16:38:30,1520.3886666666667,5348.091333333332,6309.060333333332,0.011824513115617186,2040.9333333333334,40.303226346666676,-105.20079039999999,960.969
2014-07-22 16:39:00,1468.258333333333,6818.949000000001,7441.705666666666,0.01122593265934956,2010.1,40.33487586666668,-105.19338836333336,622.7566666666644
2014-07-22 16:39:30,1622.798666666667,9937.189333333334,10720.069666666666,0.01055371154484299,2008.7,40.36780153666666,-105.18745066333332,782.8803333333326
2014-07-22 16:40:00,1653.8013333333336,10745.364000000001,15917.592333333336,0.009780676510475901,1975.1333333333334,40.40108387666666,-105.18044052666666,5172.228333333334
2014-07-22 16:40:30,1637.5973333333338,8280.942666666666,12746.379666666666,0.00999187351554597,1935.5333333333333,40.43461444333333,-105.17316817333331,4465.437
2014-07-22 16:41:00,1632.6606666666667,7626.992,8259.115999999998,0.009905273644465692,1991.7666666666667,40.46700846999999,-105.16701456,632.123999999998
2014-07-22 16:41:30,1793.6996666666664,7727.019666666669,11906.263666666666,0.00811138456898888,2003.8,40.497399776666654,-105.16127191999999,4179.243999999997
2014-07-22 16:42:00,1587.1613333333337,10871.277999999997,14979.016333333333,0.0068279795983344676,1912.6666666666667,40.527651853333346,-105.15068461333335,4107.738333333336
2014-07-22 16:42:30,1717.532666666667,13661.317333333332,13575.655666666664,0.008563637196659852,1784.7,40.556928893333335,-105.14192912000001,-85.66166666666868
2014-07-22 16:43:00,1774.968,11019.465,20798.57533333333,0.010181823932463202,1670.1333333333334,40.58399429,-105.14344559666664,9779.11033333333
2014-07-22 16:43:30,1798.398,9586.285,14170.696666666665,0.008324384753377071,1682.4,40.609542330000004,-105.1429585833333,4584.411666666665
2014-07-22 16:44:00,1264.1083333333333,17903.338,19291.97766666667,0.007009435452191116,1814.8,40.6244292,-105.12138290666665,1388.6396666666697
2014-07-22 16:44:30,1232.552666666667,22945.837000000007,25993.893333333326,0.005217983063467023,1973.3333333333333,40.61103897,-105.09092636333334,3048.0563333333193
2014-07-22 16:45:00,1285.6640000000002,19855.214666666674,21886.099333333335,0.0037551450618806457,2140.0666666666666,40.583493180000005,-105.08013586333331,2030.8846666666614
2014-07-22 16:45:30,1316.5403333333338,22149.89833333334,26944.449999999997,0.00487069733531696,2303.1666666666665,40.56275698666668,-105.10873693000002,4794.551666666655
2014-07-22 16:46:00,1054.0880000000002,6358.107333333333,11244.929666666669,0.0055043560291356255,2494.7,40.58000576666666,-105.13815536,4886.822333333335
2014-07-22 16:46:30,976.712,6851.063666666668,5532.598999999999,0.004950356862121497,2656.5333333333333,40.607535046666655,-105.12723643666668,-1318.4646666666686
2014-07-22 16:47:00,664.5859999999998,1440.203666666667,1453.0526666666667,0.00451510863200903,2812.8333333333335,40.60851288666667,-105.09098409333335,12.848999999999705
2014-07-22 16:47:30,625.9846666666667,1313.2776666666664,1252.6986666666667,0.003916320039669571,2985.9333333333334,40.582626600000005,-105.07933070000003,-60.57899999999972
2014-07-22 16:48:00,572.0699999999999,1229.5143333333333,1136.7010000000002,0.0034565626651986976,3153.5333333333333,40.565934369999994,-105.10895283333335,-92.81333333333305
2014-07-22 16:48:30,566.9693333333333,1247.8680000000002,1184.352333333333,0.003485762587477634,3343.3333333333335,40.58416786333334,-105.13860143333335,-63.51566666666713
2014-07-22 16:49:00,561.8056666666668,1249.4406666666666,1233.556,0.003500136348006172,3511.4333333333334,40.609596373333346,-105.12143910666667,-15.88466666666659
2014-07-22 16:49:30,541.9639999999999,1182.735,1145.135,0.003148160334032044,3669.5666666666666,40.602647016666666,-105.08412068999999,-37.59999999999991
2014-07-22 16:50:00,541.489,1310.6773333333338,1419.7853333333333,0.0028744073000860483,3826.2,40.57416890666666,-105.08794224666669,109.10799999999949
2014-07-22 16:50:30,536.7686666666666,1279.8633333333335,1390.5243333333333,0.0030505624582183224,4001.133333333333,40.57043368666666,-105.12524771000001,110.66099999999983
2014-07-22 16:51:00,523.5643333333334,1068.4966666666667,1081.2993333333334,0.0031716319378575003,4168.266666666666,40.598136006666664,-105.13625158666666,12.80266666666671
2014-07-22 16:51:30,502.7956666666667,1028.023,947.1536666666667,0.0028859113003092273,4330.366666666667,40.610866419999994,-105.10009613999999,-80.8693333333332
